date,arrivals,patients_in_hospital,patients_added,patients_dismissed,capacity,capacity_precentage,predictions_histoty
1/1/2020,9,,,,,,
1/2/2020,20,,,,,,
1/3/2020,12,,,,,,
1/4/2020,33,,,,,,
1/5/2020,9,,,,,,
1/6/2020,16,,,,,,
1/7/2020,34,,,,,,
1/8/2020,4,,,,,,
1/9/2020,25,,,,,,
1/10/2020,25,,,,,,
1/11/2020,19,,,,,,
1/12/2020,12,,,,,,
1/13/2020,15,,,,,,
1/14/2020,15,,,,,,
1/15/2020,25,,,,,,
1/16/2020,17,,,,,,
1/17/2020,20,,,,,,
1/18/2020,5,,,,,,
1/19/2020,9,,,,,,
1/20/2020,20,,,,,,
1/21/2020,15,,,,,,
1/22/2020,12,,,,,,
1/23/2020,30,,,,,,
1/24/2020,15,,,,,,
1/25/2020,26,,,,,,
1/26/2020,15,,,,,,
1/27/2020,14,,,,,,
1/28/2020,9,,,,,,
1/29/2020,32,,,,,,
1/30/2020,19,,,,,,
1/31/2020,5,,,,,,
2/1/2020,32,,,,,,
2/2/2020,24,,,,,,
2/3/2020,29,,,,,,
2/4/2020,24,,,,,,
2/5/2020,20,,,,,,
2/6/2020,11,,,,,,
2/7/2020,18,,,,,,
2/8/2020,9,,,,,,
2/9/2020,6,,,,,,
2/10/2020,41,,,,,,
2/11/2020,5,,,,,,
2/12/2020,10,,,,,,
2/13/2020,14,,,,,,
2/14/2020,9,,,,,,
2/15/2020,22,,,,,,
2/16/2020,6,,,,,,
2/17/2020,11,,,,,,
2/18/2020,20,,,,,,
2/19/2020,18,,,,,,
2/20/2020,22,,,,,,
2/21/2020,14,,,,,,
2/22/2020,18,,,,,,
2/23/2020,22,,,,,,
2/24/2020,17,,,,,,
2/25/2020,27,,,,,,
2/26/2020,23,,,,,,
2/27/2020,20,,,,,,
2/28/2020,12,,,,,,
3/1/2020,27,,,,,,
3/2/2020,18,,,,,,
3/3/2020,15,,,,,,
3/4/2020,18,,,,,,
3/5/2020,20,,,,,,
3/6/2020,13,,,,,,
3/7/2020,7,,,,,,
3/8/2020,23,,,,,,
3/9/2020,15,,,,,,
3/10/2020,14,,,,,,
3/11/2020,41,,,,,,
3/12/2020,6,,,,,,
3/13/2020,22,,,,,,
3/14/2020,22,,,,,,
3/15/2020,18,,,,,,
3/16/2020,30,,,,,,
3/17/2020,26,,,,,,
3/18/2020,27,,,,,,
3/19/2020,11,,,,,,
3/20/2020,18,,,,,,
3/21/2020,16,,,,,,
3/22/2020,6,,,,,,
3/23/2020,13,,,,,,
3/24/2020,8,,,,,,
3/25/2020,20,,,,,,
3/26/2020,11,,,,,,
3/27/2020,10,,,,,,
3/28/2020,13,,,,,,
3/29/2020,23,,,,,,
3/30/2020,7,,,,,,
3/31/2020,13,,,,,,
4/1/2020,27,,,,,,
4/2/2020,26,,,,,,
4/3/2020,29,,,,,,
4/4/2020,17,,,,,,
4/5/2020,18,,,,,,
4/6/2020,16,,,,,,
4/7/2020,34,,,,,,
4/8/2020,15,,,,,,
4/9/2020,27,,,,,,
4/10/2020,14,,,,,,
4/11/2020,10,,,,,,
4/12/2020,25,,,,,,
4/13/2020,16,,,,,,
4/14/2020,19,,,,,,
4/15/2020,25,,,,,,
4/16/2020,23,,,,,,
4/17/2020,21,,,,,,
4/18/2020,30,,,,,,
4/19/2020,12,,,,,,
4/20/2020,13,,,,,,
4/21/2020,34,,,,,,
4/22/2020,28,,,,,,
4/23/2020,7,,,,,,
4/24/2020,10,,,,,,
4/25/2020,29,,,,,,
4/26/2020,27,,,,,,
4/27/2020,18,,,,,,
4/28/2020,20,,,,,,
4/29/2020,16,,,,,,
4/30/2020,14,,,,,,
5/1/2020,25,,,,,,
5/2/2020,23,,,,,,
5/3/2020,17,,,,,,
5/4/2020,17,,,,,,
5/5/2020,15,,,,,,
5/6/2020,25,,,,,,
5/7/2020,15,,,,,,
5/8/2020,20,,,,,,
5/9/2020,15,,,,,,
5/10/2020,12,,,,,,
5/11/2020,10,,,,,,
5/12/2020,15,,,,,,
5/13/2020,16,,,,,,
5/14/2020,8,,,,,,
5/15/2020,10,,,,,,
5/16/2020,15,,,,,,
5/17/2020,12,,,,,,
5/18/2020,22,,,,,,
5/19/2020,14,,,,,,
5/20/2020,29,,,,,,
5/21/2020,30,,,,,,
5/22/2020,23,,,,,,
5/23/2020,16,,,,,,
5/24/2020,18,,,,,,
5/25/2020,12,,,,,,
5/26/2020,18,,,,,,
5/27/2020,9,,,,,,
5/28/2020,26,,,,,,
5/29/2020,7,,,,,,
5/30/2020,22,,,,,,
5/31/2020,18,,,,,,
6/1/2020,24,,,,,,
6/2/2020,17,,,,,,
6/3/2020,22,,,,,,
6/4/2020,16,,,,,,
6/5/2020,23,,,,,,
6/6/2020,14,,,,,,
6/7/2020,9,,,,,,
6/8/2020,12,,,,,,
6/9/2020,15,,,,,,
6/10/2020,5,,,,,,
6/11/2020,12,,,,,,
6/12/2020,9,,,,,,
6/13/2020,33,,,,,,
6/14/2020,8,,,,,,
6/15/2020,10,,,,,,
6/16/2020,25,,,,,,
6/17/2020,21,,,,,,
6/18/2020,26,,,,,,
6/19/2020,10,,,,,,
6/20/2020,30,,,,,,
6/21/2020,22,,,,,,
6/22/2020,20,,,,,,
6/23/2020,6,,,,,,
6/24/2020,21,,,,,,
6/25/2020,15,,,,,,
6/26/2020,14,,,,,,
6/27/2020,18,,,,,,
6/28/2020,29,,,,,,
6/29/2020,19,,,,,,
6/30/2020,19,,,,,,
7/1/2020,21,,,,,,
7/2/2020,17,,,,,,
7/3/2020,17,,,,,,
7/4/2020,30,,,,,,
7/5/2020,11,,,,,,
7/6/2020,28,,,,,,
7/7/2020,17,,,,,,
7/8/2020,32,,,,,,
7/9/2020,17,,,,,,
7/10/2020,23,,,,,,
7/11/2020,9,,,,,,
7/12/2020,8,,,,,,
7/13/2020,22,,,,,,
7/14/2020,12,,,,,,
7/15/2020,24,,,,,,
7/16/2020,20,,,,,,
7/17/2020,24,,,,,,
7/18/2020,12,,,,,,
7/19/2020,12,,,,,,
7/20/2020,10,,,,,,
7/21/2020,13,,,,,,
7/22/2020,24,,,,,,
7/23/2020,20,,,,,,
7/24/2020,10,,,,,,
7/25/2020,10,,,,,,
7/26/2020,14,,,,,,
7/27/2020,18,,,,,,
7/28/2020,17,,,,,,
7/29/2020,29,,,,,,
7/30/2020,26,,,,,,
7/31/2020,33,,,,,,
8/1/2020,19,,,,,,
8/2/2020,18,,,,,,
8/3/2020,17,,,,,,
8/4/2020,14,,,,,,
8/5/2020,11,,,,,,
8/6/2020,24,,,,,,
8/7/2020,20,,,,,,
8/8/2020,3,,,,,,
8/9/2020,25,,,,,,
8/10/2020,26,,,,,,
8/11/2020,20,,,,,,
8/12/2020,7,,,,,,
8/13/2020,37,,,,,,
8/14/2020,9,,,,,,
8/15/2020,26,,,,,,
8/16/2020,24,,,,,,
8/17/2020,22,,,,,,
8/18/2020,23,,,,,,
8/19/2020,30,,,,,,
8/20/2020,20,,,,,,
8/21/2020,13,,,,,,
